IMIĘ DRUGIE,PŁEĆ,LICZBA WYSTĄPIEŃ
MARIA,KOBIETA,1741201
ANNA,KOBIETA,982205
BARBARA,KOBIETA,462323
TERESA,KOBIETA,450417
KATARZYNA,KOBIETA,444197
EWA,KOBIETA,403191
ELŻBIETA,KOBIETA,358881
MAŁGORZATA,KOBIETA,354689
ZOFIA,KOBIETA,343325
MAGDALENA,KOBIETA,319035
AGNIESZKA,KOBIETA,296175
KRYSTYNA,KOBIETA,271092
JADWIGA,KOBIETA,258843
JANINA,KOBIETA,229051
HELENA,KOBIETA,214077
JOANNA,KOBIETA,213509
STANISŁAWA,KOBIETA,179766
MONIKA,KOBIETA,169711
MARTA,KOBIETA,155118
IRENA,KOBIETA,153945
DANUTA,KOBIETA,153693
DOROTA,KOBIETA,140933
MARIANNA,KOBIETA,130827
WERONIKA,KOBIETA,127544
JOLANTA,KOBIETA,127234
ALEKSANDRA,KOBIETA,124416
BEATA,KOBIETA,123461
JÓZEFA,KOBIETA,122832
KAZIMIERA,KOBIETA,122027
KAROLINA,KOBIETA,117506
URSZULA,KOBIETA,117057
HALINA,KOBIETA,111895
WIKTORIA,KOBIETA,111028
GRAŻYNA,KOBIETA,106968
JULIA,KOBIETA,93855
ALICJA,KOBIETA,93630
BOŻENA,KOBIETA,88588
IWONA,KOBIETA,86648
WANDA,KOBIETA,86042
AGATA,KOBIETA,85686
IZABELA,KOBIETA,83114
NATALIA,KOBIETA,82219
JUSTYNA,KOBIETA,76320
SYLWIA,KOBIETA,74548
PAULINA,KOBIETA,73361
STEFANIA,KOBIETA,65326
ŁUCJA,KOBIETA,65205
PATRYCJA,KOBIETA,62497
RENATA,KOBIETA,61570
ANTONINA,KOBIETA,59784
KINGA,KOBIETA,59554
EMILIA,KOBIETA,55909
WŁADYSŁAWA,KOBIETA,55387
WIESŁAWA,KOBIETA,50372
DOMINIKA,KOBIETA,48840
ANIELA,KOBIETA,48838
FRANCISZKA,KOBIETA,48043
ZUZANNA,KOBIETA,48040
GABRIELA,KOBIETA,46527
LUCYNA,KOBIETA,44761
MARZENA,KOBIETA,43054
GENOWEFA,KOBIETA,42958
BRONISŁAWA,KOBIETA,40845
EDYTA,KOBIETA,40352
HANNA,KOBIETA,39090
LIDIA,KOBIETA,38048
BOGUMIŁA,KOBIETA,38015
EWELINA,KOBIETA,36615
CECYLIA,KOBIETA,36591
HENRYKA,KOBIETA,35449
KLAUDIA,KOBIETA,34653
ANETA,KOBIETA,33300
SABINA,KOBIETA,33168
MARIOLA,KOBIETA,32951
REGINA,KOBIETA,32465
CZESŁAWA,KOBIETA,32420
KAMILA,KOBIETA,31714
MIROSŁAWA,KOBIETA,30443
MICHALINA,KOBIETA,29306
OLIWIA,KOBIETA,29125
ROZALIA,KOBIETA,28899
ALINA,KOBIETA,28777
BOGUSŁAWA,KOBIETA,26517
RÓŻA,KOBIETA,24971
DARIA,KOBIETA,24908
GERTRUDA,KOBIETA,24689
LEOKADIA,KOBIETA,23041
MAJA,KOBIETA,22416
WIOLETTA,KOBIETA,21765
ANGELIKA,KOBIETA,20695
MARTYNA,KOBIETA,20383
KLARA,KOBIETA,19189
ZDZISŁAWA,KOBIETA,18990
ANASTAZJA,KOBIETA,18707
EUGENIA,KOBIETA,18008
BERNADETA,KOBIETA,17941
OLGA,KOBIETA,17569
AMELIA,KOBIETA,17510
MIECZYSŁAWA,KOBIETA,17153
LAURA,KOBIETA,16928
LUDWIKA,KOBIETA,14368
ILONA,KOBIETA,13325
ANITA,KOBIETA,12647
SANDRA,KOBIETA,12403
HONORATA,KOBIETA,12285
LENA,KOBIETA,12046
DANIELA,KOBIETA,11765
WIOLETA,KOBIETA,11648
APOLONIA,KOBIETA,11585
WACŁAWA,KOBIETA,10750
DAGMARA,KOBIETA,10729
BRYGIDA,KOBIETA,10702
CELINA,KOBIETA,10524
JULIANNA,KOBIETA,10514
MARLENA,KOBIETA,10440
ELIZA,KOBIETA,10243
NIKOLA,KOBIETA,9968
KORNELIA,KOBIETA,9873
JAGODA,KOBIETA,9685
WALERIA,KOBIETA,9461
SARA,KOBIETA,9308
ELEONORA,KOBIETA,9076
MILENA,KOBIETA,8905
KARINA,KOBIETA,8891
FAUSTYNA,KOBIETA,8851
MATYLDA,KOBIETA,8322
PELAGIA,KOBIETA,8073
FELICJA,KOBIETA,7768
MARCELINA,KOBIETA,7748
LUIZA,KOBIETA,7538
ALDONA,KOBIETA,7533
IZABELLA,KOBIETA,7513
ROKSANA,KOBIETA,7424
ADRIANNA,KOBIETA,7402
ROMANA,KOBIETA,7260
MAGDA,KOBIETA,7156
RITA,KOBIETA,7139
ŻANETA,KOBIETA,6663
ADELA,KOBIETA,6647
MALWINA,KOBIETA,6488
NINA,KOBIETA,6359
LILIANA,KOBIETA,6351
AURELIA,KOBIETA,6336
NADIA,KOBIETA,6217
DIANA,KOBIETA,6119
FELIKSA,KOBIETA,6078
